ID,URL Tested,Expected Result,WebSense Result,Score,Response Time (ms),HTTP Status,Reason Flags,Correct?,Evaluation,Label Source,Notes
1,https://www.google.com,SAFE,SAFE,100,690.07,200,,YES,TRUE_NEGATIVE,manual,well-known site
2,https://www.bbc.co.uk,SAFE,SAFE,100,882.40,200,,YES,TRUE_NEGATIVE,manual,news site
3,https://www.amazon.co.uk,SAFE,SAFE,100,719.07,200,,YES,TRUE_NEGATIVE,manual,ecommerce
4,https://www.microsoft.com,SAFE,SAFE,100,794.40,200,,YES,TRUE_NEGATIVE,manual,official site
5,https://www.github.com,SAFE,SAFE,100,797.81,200,,YES,TRUE_NEGATIVE,manual,developer platform
6,https://www.nhs.uk,SAFE,SAFE,100,756.68,200,,YES,TRUE_NEGATIVE,manual,UK health
7,https://www.gov.uk,SAFE,SAFE,100,809.83,200,,YES,TRUE_NEGATIVE,manual,UK government
8,https://www.wikipedia.org,SAFE,SAFE,100,764.72,200,,YES,TRUE_NEGATIVE,manual,reference
9,https://www.youtube.com,SAFE,SAFE,100,693.54,200,,YES,TRUE_NEGATIVE,manual,video platform
10,https://www.linkedin.com,SAFE,SAFE,100,702.22,200,,YES,TRUE_NEGATIVE,manual,social network
11,http://testsafebrowsing.appspot.com/s/phishing.html,PHISHING,UNSAFE,8,754.02,200,safe_browsing: Flagged by Google Safe Browsing.,YES,TRUE_POSITIVE,safebrowsing,google test phishing
12,http://testsafebrowsing.appspot.com/s/malware.html,PHISHING,UNSAFE,8,734.87,200,safe_browsing: Flagged by Google Safe Browsing.,YES,TRUE_POSITIVE,safebrowsing,google test malware
13,http://testsafebrowsing.appspot.com/s/unwanted.html,PHISHING,UNSAFE,8,736.20,200,safe_browsing: Flagged by Google Safe Browsing.,YES,TRUE_POSITIVE,safebrowsing,google unwanted software
14,http://testsafebrowsing.appspot.com/s/phishing.html?hl=en,PHISHING,UNSAFE,8,720.47,200,safe_browsing: Flagged by Google Safe Browsing.,YES,TRUE_POSITIVE,safebrowsing,variant phishing test
15,http://192.168.1.1/login,PHISHING,BE_CAREFUL,60,4633.59,200,tls: Not securely configured. | heuristics: Uses a numeric IP instead of a normal domain.,YES,TRUE_POSITIVE,heuristic,IP address used
16,http://paypal.com.verify-login.security-update.co,PHISHING,UNSAFE,20,676.69,200,tls: Not securely configured. | heuristics: High subdomain depth (3).; Contains multiple suspicious login-related keywords.; Domain structure looks like a spoofed brand.,YES,TRUE_POSITIVE,heuristic,subdomain spoof
17,http://xn--pple-43d.com,PHISHING,BE_CAREFUL,60,642.41,200,tls: Not securely configured. | heuristics: Uses punycode (possible lookalike domain).,YES,TRUE_POSITIVE,heuristic,punycode lookalike
18,http://secure-login-account-update-paypal.com/login/verify,PHISHING,BE_CAREFUL,60,687.16,200,tls: Not securely configured. | heuristics: Contains multiple suspicious login-related keywords.,YES,TRUE_POSITIVE,heuristic,long url
19,http://google.com.user.security.verify-login.co,PHISHING,BE_CAREFUL,55,722.62,200,tls: Not securely configured. | heuristics: High subdomain depth (4).; Contains multiple suspicious login-related keywords.,YES,TRUE_POSITIVE,heuristic,domain spoof
20,http://very-long-url-login-secure-update-account-verification-example.com/login/account/update/security,PHISHING,BE_CAREFUL,60,822.44,200,tls: Not securely configured. | heuristics: Long URL (103 chars).; Contains multiple suspicious login-related keywords.,YES,TRUE_POSITIVE,heuristic,very long url
